wall_id,materials,total_thickness,total_r_value,total_u_value,total_embodied_carbon,heat_transfer,total_cost
593,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.085), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.424), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Solid concrete block 25/50', 'thickness': np.float64(0.15), 'density': np.float64(2427.0), 'conductivity': np.float64(1.396), 'u_value': np.float64(9.346), 'embodied_carbon_coefficient': np.float64(0.073), 'cost': np.float64(16.49), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#c0a6ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.012), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(43.478), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.26,2.516,93.248,36.428,3.975,35.44
594,"[{'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.08), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.45), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.105,2.256,119.749,29.672,4.433,26.47
595,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.078), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(10.101), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Foam glass', 'thickness': np.float64(0.146), 'density': np.float64(127.0), 'conductivity': np.float64(0.056), 'u_value': np.float64(0.384), 'embodied_carbon_coefficient': np.float64(1.26), 'cost': np.float64(72.27), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#848788'}, {'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.235,2.721,77.152,190.529,3.675,137.65
596,"[{'material': 'Timber', 'thickness': np.float64(0.023), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.135), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.062), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(0.613), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Solid burnt clay brick', 'thickness': np.float64(0.012), 'density': np.float64(1920.0), 'conductivity': np.float64(0.98), 'u_value': np.float64(83.333), 'embodied_carbon_coefficient': np.float64(0.012), 'cost': np.float64(22.31), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b4b2b3'}, {'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.111,1.982,139.713,31.702,5.045,59.76
597,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Cork slab', 'thickness': np.float64(0.031), 'density': np.float64(164.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(1.387), 'embodied_carbon_coefficient': np.float64(0.3), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Timber', 'thickness': np.float64(0.034), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.119), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.079,1.22,40.543,17.65,8.197,50.54
598,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.071), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(11.111), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.05), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.72), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Plywood', 'thickness': np.float64(0.005), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.126,1.508,46.314,145.449,6.631,79.15
599,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.078), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(10.101), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Cork slab', 'thickness': np.float64(0.056), 'density': np.float64(192.0), 'conductivity': np.float64(0.044), 'u_value': np.float64(0.786), 'embodied_carbon_coefficient': np.float64(0.2), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Timber', 'thickness': np.float64(0.031), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.32), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.165,1.803,13.207,167.819,5.546,98.22
600,"[{'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Foam glass', 'thickness': np.float64(0.098), 'density': np.float64(127.0), 'conductivity': np.float64(0.056), 'u_value': np.float64(0.571), 'embodied_carbon_coefficient': np.float64(1.26), 'cost': np.float64(72.27), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#848788'}, {'material': 'Solid concrete block 25/50', 'thickness': np.float64(0.15), 'density': np.float64(2427.0), 'conductivity': np.float64(1.396), 'u_value': np.float64(9.346), 'embodied_carbon_coefficient': np.float64(0.073), 'cost': np.float64(16.49), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#c0a6ab'}, {'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.271,1.889,135.408,67.79,5.294,110.22
601,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.076), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.474), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.103,2.163,77.511,10.261,4.623,18.95
602,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.071), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(11.111), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.059), 'density': np.float64(150.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.729), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Timber', 'thickness': np.float64(0.027), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.667), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.157,1.837,14.507,159.673,5.444,92.61
603,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.012), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(43.478), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.094), 'density': np.float64(24.0), 'conductivity': np.float64(0.036), 'u_value': np.float64(0.383), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.012), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(43.478), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.118,2.657,87.339,9.756,3.764,18.95
604,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.105), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(7.519), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.026), 'density': np.float64(48.0), 'conductivity': np.float64(0.042), 'u_value': np.float64(1.616), 'embodied_carbon_coefficient': np.float64(4.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Timber', 'thickness': np.float64(0.021), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.425), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.152,1.044,12.56,220.843,9.579,81.37
605,"[{'material': 'Timber', 'thickness': np.float64(0.021), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.425), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Cork slab', 'thickness': np.float64(0.084), 'density': np.float64(164.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.512), 'embodied_carbon_coefficient': np.float64(0.3), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Plywood', 'thickness': np.float64(0.018), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(9.709), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.123,2.348,13.646,22.911,4.259,63.06
606,"[{'material': 'Plywood', 'thickness': np.float64(0.023), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(7.576), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.062), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(0.613), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.012), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(43.478), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.097,1.787,51.667,26.406,5.596,31.47
607,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.076), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(10.417), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Straw board', 'thickness': np.float64(0.09), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(0.633), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.01), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(50.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.176,1.695,61.05,156.897,5.9,72.12
608,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.01), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(50.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.049), 'density': np.float64(48.0), 'conductivity': np.float64(0.042), 'u_value': np.float64(0.857), 'embodied_carbon_coefficient': np.float64(4.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.015), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.074,1.216,85.34,17.22,8.224,18.95
609,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.088), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(8.929), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Straw board', 'thickness': np.float64(0.059), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(0.966), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Timber', 'thickness': np.float64(0.02), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.597), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.167,1.425,13.492,183.562,7.018,86.86
610,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.101), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(7.812), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Glass Wool (unbonded)', 'thickness': np.float64(0.025), 'density': np.float64(69.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(1.721), 'embodied_carbon_coefficient': np.float64(1.35), 'cost': np.float64(5.78), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#707372'}, {'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.138,0.726,68.357,216.297,13.774,71.16
611,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.084), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(9.434), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Mineral wool (unbonded)', 'thickness': np.float64(0.071), 'density': np.float64(73.5), 'conductivity': np.float64(0.03), 'u_value': np.float64(0.422), 'embodied_carbon_coefficient': np.float64(0.5), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b9b7ba'}, {'material': 'Cement plaster', 'thickness': np.float64(0.01), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(71.429), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.165,2.487,81.285,180.584,4.021,81.63
612,"[{'material': 'Plywood', 'thickness': np.float64(0.014), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(12.5), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}, {'material': 'Soft board', 'thickness': np.float64(0.083), 'density': np.float64(320.0), 'conductivity': np.float64(0.066), 'u_value': np.float64(0.795), 'embodied_carbon_coefficient': np.float64(0.12), 'cost': np.float64(24.57), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#b2afb0'}, {'material': 'Timber', 'thickness': np.float64(0.023), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.135), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.12,1.657,16.43,20.096,6.035,65.77
613,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.078), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(10.101), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.025), 'density': np.float64(92.0), 'conductivity': np.float64(0.047), 'u_value': np.float64(1.88), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.115,0.648,70.805,170.691,15.432,81.63
614,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.083), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(0.458), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Plywood', 'thickness': np.float64(0.007), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(25.0), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.104,2.251,62.495,19.479,4.442,31.47
615,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.084), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(9.434), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Cork slab', 'thickness': np.float64(0.034), 'density': np.float64(164.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(1.264), 'embodied_carbon_coefficient': np.float64(0.3), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.132,0.924,47.735,172.922,10.823,83.48
616,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.074), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(10.638), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.092), 'density': np.float64(150.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.467), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.18,2.253,63.737,177.039,4.439,81.63
617,"[{'material': 'Timber', 'thickness': np.float64(0.032), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.252), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.039), 'density': np.float64(92.0), 'conductivity': np.float64(0.047), 'u_value': np.float64(1.205), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Timber', 'thickness': np.float64(0.018), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(4.0), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.089,1.524,7.457,21.047,6.562,59.67
618,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.062), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(12.658), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Straw board', 'thickness': np.float64(0.072), 'density': np.float64(310.0), 'conductivity': np.float64(0.057), 'u_value': np.float64(0.792), 'embodied_carbon_coefficient': np.float64(0.1), 'cost': np.float64(10.5), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#aeabad'}, {'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.146,1.359,72.274,138.722,7.358,75.88
619,"[{'material': 'Profiled Clay Tile Pananel', 'thickness': np.float64(0.09), 'density': np.float64(1892.0), 'conductivity': np.float64(0.789), 'u_value': np.float64(8.772), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(54.65), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#7a7975'}, {'material': 'Cork slab', 'thickness': np.float64(0.051), 'density': np.float64(164.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.843), 'embodied_carbon_coefficient': np.float64(0.3), 'cost': np.float64(21.86), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#a2a3a5'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.154,1.325,49.615,185.365,7.547,83.48
